"runner_id","name","profile_url","nationality","toyko_time","chicago_time","berlin_time","newyorkcity_time","boston_time","london_time","toyko_year","chicago_year","berlin_year","newyorkcity_year","boston_year","london_year"
36934,"Maria del Carmen Abarrategui Acha","/members/profile/abarrategui-acha/view/","ESP",NA,NA,"4:08:50","4:07:52",NA,"4:15:44",NA,NA,"2018","2017",NA,"2019"
2815,"Álvaro Abascal Diaz","/members/profile/abascal-diaz/view/","ESP","3:37:03","3:42:46","3:59:50","3:28:56","4:00:13","3:28:39","2015","2016","2017","2013","2018","2016"
23704,"Macarena Abascal","/members/profile/abascal/view/","MEX",NA,NA,"4:32:30",NA,NA,NA,NA,NA,"2018",NA,NA,NA
636893,"Paco Abascal","/members/profile/abascal-1/view/","MEX",NA,NA,NA,"5:22:29",NA,NA,NA,NA,NA,"2019",NA,NA
633632,"Jana Abaskalova","/members/profile/abaskalova/view/","USA",NA,NA,NA,"4:15:01",NA,NA,NA,NA,NA,"2019",NA,NA
268092,"Brandon Abasolo","/members/profile/abasolo/view/","USA",NA,NA,NA,"2:30:04",NA,NA,NA,NA,NA,"2019",NA,NA
92728,"Dave Abatangelo","/members/profile/abatangelo/view/","USA",NA,"3:53:43",NA,NA,NA,NA,NA,"2018",NA,NA,NA,NA
108430,"Giuseppe Abatematteo","/members/profile/abatematteo/view/","ITA",NA,"3:58:12",NA,NA,NA,NA,NA,"2018",NA,NA,NA,NA
208637,"Sandra Abati","/members/profile/abati-1/view/","ITA",NA,NA,NA,"5:51:11",NA,NA,NA,NA,NA,"2018",NA,NA
207229,"Eva Maria Abati","/members/profile/abati/view/","ITA",NA,NA,NA,"5:13:57",NA,NA,NA,NA,NA,"2018",NA,NA
42970,"Haroldinio Abauna","/members/profile/abauna/view/","NED",NA,NA,"4:38:00",NA,NA,NA,NA,NA,"2018",NA,NA,NA
605970,"Alec Abaunza","/members/profile/abaunza/view/","USA",NA,NA,NA,"4:00:15",NA,NA,NA,NA,NA,"2019",NA,NA
421085,"Marcio Abaurre","/members/profile/abaurre/view/","BRA",NA,NA,NA,NA,NA,"4:21:41",NA,NA,NA,NA,NA,"2019"
624404,"Farid Abawat","/members/profile/abawat/view/","FRA",NA,NA,NA,"4:48:52",NA,NA,NA,NA,NA,"2019",NA,NA
636831,"Manel Abayon","/members/profile/abayon/view/","USA",NA,NA,NA,"5:26:05",NA,NA,NA,NA,NA,"2019",NA,NA
179839,"Ghyath Abazeed","/members/profile/ghyath/view/","SYR",NA,"3:10:44",NA,NA,"3:37:22",NA,NA,"2016",NA,NA,"2016",NA
33763,"Aleksandar Abazli","/members/profile/abazli/view/","GER",NA,NA,"3:29:31",NA,NA,NA,NA,NA,"2018",NA,NA,NA
627061,"Karim Abbes","/members/profile/abbes/view/","FRA",NA,NA,NA,"4:59:20",NA,NA,NA,NA,NA,"2019",NA,NA
189276,"Julian Abb","/members/profile/abb-1/view/","GER",NA,NA,NA,"4:02:37",NA,NA,NA,NA,NA,"2018",NA,NA
168717,"Claus Abb","/members/profile/abb/view/","GER",NA,NA,NA,"4:43:00",NA,NA,NA,NA,NA,"2018",NA,NA
56062,"Alyson Abbas","/members/profile/abbas-2/view/","USA",NA,NA,NA,NA,"3:58:13",NA,NA,NA,NA,NA,"2017",NA
410596,"Natasha Abbas","/members/profile/abbas-6/view/","GBR",NA,NA,NA,NA,NA,"5:18:21",NA,NA,NA,NA,NA,"2019"
424397,"Badir Abbas Alhosani","/members/profile/abbas-alhosani/view/","UAE",NA,NA,NA,NA,NA,"1:39:58",NA,NA,NA,NA,NA,"2019"
131714,"Massimo Abba'","/members/profile/abba/view/","ITA",NA,NA,"3:46:30","3:41:41",NA,NA,NA,NA,"2019","2018",NA,NA
199282,"Moulay Abbas","/members/profile/abbas-3/view/","MTN",NA,"3:37:39",NA,"4:21:08",NA,NA,NA,"2019",NA,"2018",NA,NA
536315,"Mehdi Abbas","/members/profile/abbas-8/view/","FRA",NA,"4:09:15",NA,NA,NA,NA,NA,"2019",NA,NA,NA,NA
5671,"Jocelyne Abbadie","/members/profile/abbadie/view/","FRA","4:51:23","4:46:26","4:41:35","5:13:03","4:50:42","4:45:42","2016","2012","2011","2009","2014","2011"
196580,"Mehdi Abbadi","/members/profile/abbadi/view/","FRA",NA,NA,NA,"4:06:15",NA,NA,NA,NA,NA,"2018",NA,NA
321911,"David Abban","/members/profile/abban/view/","USA",NA,NA,NA,NA,"4:39:28<span class=""js-result-projection-symbol"" title=""Projected finish time"">(P)</span>",NA,NA,NA,NA,NA,"2013",NA
169980,"Lita Abbarno","/members/profile/abbarno/view/","USA",NA,NA,NA,"4:58:10",NA,NA,NA,NA,NA,"2018",NA,NA
551797,"Yvette Abbascia","/members/profile/abbascia-1/view/","USA",NA,"6:12:01",NA,NA,NA,NA,NA,"2019",NA,NA,NA,NA
543304,"Kimberly Abbascia","/members/profile/abbascia/view/","USA",NA,"5:23:51",NA,NA,NA,NA,NA,"2019",NA,NA,NA,NA
618038,"Andrea Abbasciano","/members/profile/abbasciano/view/","ITA",NA,NA,NA,"3:43:23",NA,NA,NA,NA,NA,"2019",NA,NA
98687,"Johanna Morlock-Abbasi","/members/profile/morlock-abbasi/view/","USA",NA,"4:55:50",NA,NA,NA,NA,NA,"2018",NA,NA,NA,NA
799146,"El Hassan EL ABBASSI","/members/profile/el-abbassi/view/","BRN","2:06:21",NA,NA,NA,NA,NA,"2020",NA,NA,NA,NA,NA
196658,"Adam Abbate","/members/profile/abbate-3/view/","USA",NA,NA,NA,"4:19:36",NA,NA,NA,NA,NA,"2018",NA,NA
545915,"Alexandra Abbate","/members/profile/abbate-8/view/","USA",NA,"6:04:03",NA,NA,NA,NA,NA,"2019",NA,NA,NA,NA
203303,"Maria Abbate","/members/profile/abbate-4/view/","USA",NA,NA,NA,"5:44:29",NA,NA,NA,NA,NA,"2019",NA,NA
131020,"Emily Abbate","/members/profile/abbate-1/view/","USA",NA,"3:28:08",NA,"3:49:13",NA,NA,NA,"2019",NA,"2018",NA,NA
107250,"John Abbate","/members/profile/abbate/view/","USA",NA,"4:00:23","4:06:20","3:40:46","3:38:00",NA,NA,"2018","2019","2011","2009",NA
169345,"Francesco Abbate","/members/profile/abbate-2/view/","ITA",NA,NA,NA,"4:52:43",NA,NA,NA,NA,NA,"2018",NA,NA
115412,"Dan Abbatacola","/members/profile/abbatacola/view/","USA",NA,"3:50:28",NA,NA,NA,NA,NA,"2018",NA,NA,NA,NA
176926,"Gianine Abbattista","/members/profile/abbattista/view/","USA",NA,NA,NA,"5:09:15",NA,NA,NA,NA,NA,"2018",NA,NA
87556,"Carol Abbattisti","/members/profile/abbattisti/view/","USA",NA,"3:51:03",NA,NA,NA,NA,NA,"2018",NA,NA,NA,NA
19035,"Janneke Abbema","/members/profile/abbema/view/","NED",NA,NA,"4:43:55",NA,NA,NA,NA,NA,"2018",NA,NA,NA
373060,"Paul Abbene","/members/profile/abbene/view/","USA",NA,NA,NA,NA,"3:10:11",NA,NA,NA,NA,NA,"2019",NA
16676,"Benjamin Abbenseth","/members/profile/abbenseth/view/","GER",NA,NA,"3:44:29",NA,NA,NA,NA,NA,"2018",NA,NA,NA
60330,"Tracy Abber","/members/profile/abber/view/","USA",NA,NA,NA,NA,"4:10:04<span class=""js-result-projection-symbol"" title=""Projected finish time"">(P)</span>",NA,NA,NA,NA,NA,"2013",NA
134470,"Jon Abbey","/members/profile/abbey-2/view/","USA",NA,NA,NA,"3:18:10",NA,NA,NA,NA,NA,"2019",NA,NA
